Year|Title|Body|Category
2005|Jaen noa ika mayai|"Nato jema riki westiora jema mashkoshoko shipibobaona. Nato jane ""shipibo"" iki ikaronki pikotai moatianbi, jemanronki kikini isinkana iki. Jatian nato westiora joni merayaronki ika iki shipinko naikiti, ja koshi ikash isinyamai, ja naikishonkai jato ashea iki jato isinyamati. Jatianbi ja jonibo nanen sikiti peokokana iki bemanain, shinokeska iki. Wetsa jemabobetan, yoyo iti kopira jaki bicicletabo jan kati, ja jema riki kabayoyabo (kimishaya), westiora karitira; ramabicha jake rabe mototaxi, San Juan akin akanainko. Nenoa ikabaon yoiyai moatianronki kikin jakon jakatikanai, piti icha jakatia, paranta, atsa itan yobin icha merakatikanai. Jatian merakatikanai wame, josho bawin itan wetsaboribi, raba moa jenebobi jakomayonkana iketian, boeshokores pikanai, moatianronki nato boe potakatikanai, shao ichayora iketian itan paisma iketian. Rama iki pariapan piti boe pakeshshokores jawen paranta iamash atsaya, jainoash poroto chiclayo akanairibi, wetsatianbora akanai pikin aros atsapotoya iamash tama shoiya. Nato jemankora bariapan kikin shana ikai, ikashbi nete shabataitianra ikai kikin matsi, jaskara kopikaira bakebo isinkanai. Nato jema patashara jake wetsa jemaboribi nawabaona jabora jaton asheti shoboya iki, jainshon pitiya (restaurante), itan joe. Limonjemankora jaribake tirijono satelital jainoash asheti shobo, natobo riki simintonin akabo, jainra bakebo ashei kai. Ja bakebo chinibaonra akanai anichabon koarankin, jaton kaibo ikemabi, neskarara ikai winoti mashkoshoko itan anibobetan, Ja anibo teetaintianra akanai wetsabon jaton bake koeranshonkin. Neskatira jakanke nato jonibo bakebo itan aniboribi, mesko ikainko jain poiti ikain, jenenko kash itan wetsankoboribi. Limonjema riki westiora jema jaon shinanbenokana, jatian ja patash ika jemabo riki más jakoni jakanabo. Ikashbi moa peokana riki proyecto atibo. Maquina jan paranta poto atiyara ikanai ikashbi jan teeyamakanaiti, jain yapa kaiati akasiribira ikanai, ikashbi onanyamakanke jawekeskashamanshon ati. Limonjema ikain yamake isinai ikash oimeti kati, ja kopira bokanti jake San Juan ikainkopari benshokasi. Neskariribira ikanai wetsa jemankoboribi. Nenoa jonibora rokotoroboki rakekanai ikashbi ikaskanai nawan raokan iamash non raokan raometi. INEIkan noa yoiyai (1993 baritian aka) 50.6% Shipiboronki estudio primario akaboiki, jatian 24.7% secundaria akabo, 19.4% estudioaomabo. 15.4% benbobo riki yoyoati onama jatian 28.16% ainbobobiri iki yoyoati onamaribi itan wishati onama. Bakebora mawakanai 5 itan 9 baritiaya ikashbo. Isinkanai porokan cheshaibo, pozo onpashyosi sheabetin. Nenora yamake agua potable akanai, ja onpash pozonkonia tsekakanai riki keraschaisi."| Cuento
2005|Jaskatash Limonjema pikota|"Berthaninra noa yoiyai jaskatash Limonjema peokota, jara jain jake 32 baritia. Nato jemara neno pekotama iki, motianronki ikatiai bekeiba, jatian jawen jane ikatiai Tushma, jenetiashon jato mapoa iki, jaskara oinash, jonibo jaton boten bekena iki, jatian moa ikana iki neno baneti, westiora baritia pekao ja jema pikota iki ja janeya. Neno joshon bekanaiki jaton yame, jaton machito, reteanani nenoa ika jonibobetan, nawabo ikain. Moa neno ikaki Manish beres. Nokon papan, nokon papashokon akaiki nato jema pikokin. Onanyamakana iki jawe janeki akanti iki ishon nato jema, Jarakatiai neno westiora paeri Gastonra ikatiai jawen jane, jatian jan janekasi ika iki nato jema, ikashbi nokon papan amayama iki, Limonjema akaskin non joinbiribi, nokon papa ika iki nawan jane akashamai, jaskashon janea iki Limonjema ""Jain icha rimon ja"" ja kopi jaskakin janea iki, jain icha limon jaketian. Jatian jaskatash jatibi neno bekana iki, nokon papa jawen awinbetan (nokon papa riki kimisha awinya), neno joshon nokon wata itan nokon papan jato ja jemanko ikabo pikokasa iki, reteanankana iki, yami beshon shobo poshaibo, nawabo nato jeman iketian potakasi, jatibi jonibo noa bekanaiki jaskara aki. Westiora joni ika iki Campa janeya, ja ika iki yobe, non mai bichinketian, ja yobe ishon, nokon titashoko raona iki nokon titan tita, jakopi nokon titashoko mawata iki, jakopi iki nokon papan jan jema pikoa joni. Nokon papanra mesko jawekibo aka iki ja jeman banenoshon, jainoash moa bekana iki nokon papan chaibo, nokon titan epabo itan nokon papanaboribi, Neno nawa ikatiaibora moa yamakanke. Nokon papan, ojno min yobin oinain, jara ikatiai westiora yoshanshokona, ja yoshanra ika iki ja mai ikainoash pikokashamai Lazara ika iki jawen jane. Jatian nokon papan yoiya iki mai maromati, westiora cabayo ja yoshan menia iki ja kopi akin, jatian moa Lazara kaketian jato ibo banekana iki. Ramara icha ikanai nato jeman ainbo itan benbo bake meskotash. Eara akasa iki westiora proyecto ainbobaona, jaskashon yapa maroti kopi, non netetibi piti yamake, nenoa ainbobaon jaton onana akanai (artesania) ikashbi jaskashamanshon jain maroti yamake, ja kopi noa teekasi itai. Papabo mishki bokanai, yantanshoko bekanai, jaskashonpari pikanai, wetsatianra non yamekiri piamabobiai, wetsatian sheariskin, jaskatash teeti kakasabi, jain teeti katibobi yama"| Cuento
2005|Jaskashon ati|"Shipibo ainbobaonra kobin akanai, westiora jiwi, ikashbi ja jiwi moa yamatanike neno ochoma, jakopira bokanai ocho ja benai jainoa benoshon. Nato jiwin tokoyo montanara ikai metsashaman pikoti pokoa (oshe oshneshaman iketian akaronki ja sika ishton tsekeyamai). Moa pokoa pekaora peanti iki paranta peikan rakakanshon, jainshon bariain, ja pekaora moa jan teeti jakon ikai. Ja chopa ikainra moa non keneai, japekaora westiora jiwi kikin wirishokotonin sikai mano seroshamantonin, nato mano riki chawa wisoshaman paro Ucayaliainkonia non tsekai. Nato mano chorisha pekaora moa non patsatai. Jaskashon oinara moa ika kene jishtibireshaman. Nato mato non oimaikeska."| Cuento
2005|Mananshaobetan masho|"Westiora neteronki ikai mashobetan mananshawe nokoanani, nokoananshonronki akai ja mashokanki yoikin: - Tsoaki más join tene iki tananon ita aronkiai. Tsonki join teneti iki mai chicho jonéshon, ja tsoaki más join tene iki jan sheshon keyo kokoai. Jaronki akai mananshawepari ike pues, jaskati mimeke pues, ike basi kashon manokin COMPADRE aka jeeee iki mawatama ja mai piai ikash, jatian aatabi mawatama, compadre aka jeee iki. Jainoash mananshawe pikoshokoke pues, pikoshon akai masho minkin, jaskati westiora baritia pekao mananshawe kashon ake COMPADRE jeee, oke wetsaori kiniashon kankan bishon piikaya. Jaweskatimeinki ja masho, jaweskati nokon compadre bene beneshaman iki ironkiai ja mananshawe, bena benakin jisaronki ikai oke tepikoti aka ja mashokan, jainki kankan, jaronki akai kikin akin shepokin. Compadre aronkiai jeee iki moa jakomarestani Compadre jeee, compadre jeee, basi kashonronki akai nabon, ron-ron iki, moa, masho mawakasi gananke mananshawenin moa jatires."| Cuento
2005|Inobetan joposh|"Inokayaronki ikai kikin pikashorai pues, ino, kakakinronki ikai westiora bai nashbashaman nokokin, jainki ikai joposh merakin jaskashonronki yoiyai: - Minra ea seneyamake ironkiai ja inoki. Ja joposh ak. Ja joposhronki, ikai minra ea senenyamake ishokoi, jainoashronki iribai yoyoiribai nato ino, ja yoyo ikaikamanronki ikai nato joposhki moa kaa."| Cuento
2005|Joposh bewai ini|"Joposhronki ikai paenashki bain jojoti LALALA RARA ikirani bain bewa bewakirani kikin pikashorai, ja LALALARARA iki bewai ochobires, LALALARARA iki, jainronki ikai bewa bewai, joni nashiai oinash jikike pues, ja nashikinronki akai ja pabiki kinin jiki. Ja joposhronki ikai moa nikaskimai, ja joposhronki ikai pabiki chicho bewai."| Cuento
2005|Mananshao|"Jonironki ikai kacho kai, tepin akin, tepin kakinronki akai, ja kacho mesko yoinabo retei. Ja retei kashonronki akai ja jonin, awaisi joi oinkin; jotanan westiora shomi namanki awa joniki moa, akaiki mishkikin ja awakan, bishonronki akai neska akin mai tonko atana akin, ja mai tonko atana aka ronki ikai yoshiman boesheti joi ja mishkia, yoshiman boesheti joshonronki akai min ibo yoishontanwe akin, jaska akaronki ikai ainbo joi jene weyan weyan kirani, ja joketianronki akai, ja yatantananronki akai akin, jatian joninki ake kikianki tepinki, ja tashkakaini, ja tashkakaini ike ja ainboki moa kai chomoyashoko, chomoyashoko kaketianronki akai jonin mishkishokokin, mishkiaronki ikai joshokoi, joshokoketian ake jonin yatanke pues, yatanshon ronki aka iki miara pisi poatai akin jaskake pues jonin, mia waste bishonbatan aronkia mia jan nashimanon akin. Jakeribi joketian mia jan nashimai moa, chomoyashoko joshonronki akai ja joni nashimakin, jain ja joni kake moa, jaweti nete joi, jaweti nete jotanaronki ake ja ainboninki bencheshon bokin, bencheshon boaronki ikai ja benboki ja ainbobetan wanoai, wanokana, jawen papanki yomerai kai wini wini kanaitian, jawen papaki akai kabori ranshonkin, ranshonaronki akai ja joniki neskakin pontea pota ake jawen baken ponteshonki, eara yoshiman akai ironkiai ja joniki moa kake moa, kashronki ikai joniki joribai wini wini kainaitian, kaboriyaronki ikai ja joni jawen titaiba kai, eara mawatamaiki eara japariki aronkiai, jaska akashronki ikai joni kai, jaskatashronki ikai jawen papa yomerai karibai, jaronki akai kabori jamashonki ja kai, ake jonin chachikin."| Cuento
2005|Yoshin|"Westiora joni ronki ikai mawa yoshinman coco yamaberesai, jatian ja jonin ronki akai yamaberesaentian akai kashon shotonanki oshe neteshaman iketian, káwana wina ronki ikai mawayoshinki, mawayoshin ronki akai ja joninki pikokawanshon kikin akin rishkiyonki ja mawayoshin retebainki pues, yamekiri wina ronki ikai jan papa shokoisi."| Cuento
2005|Koshoska yoshin itan ainbo pasnaa ini|"Ainboronki ikai pasnashoko, toya, ja yameronki ikai koshoska pansh iki , jatian jan jonin onantanike, jawen papan, jawen papa onantanike, ike yameki chankati chikaroya, jaronki ikai koshoskaki mapeti, jaronki ikai ja koshohka ochomaitian ja ainbo jeee iki, jee ikaitianronki ikai ja koshoshka joi, ja jomatananronki akai joninki chachikin, jaskatashronki ikai jenen kobo iki, pansh iki, ja konpaki joke pues, jawen konpaki piti awanash, ja keshanki, koshoskaisi chikaroya tetashitina. Ja riki nokon chikaro aronkiai. Nokon bake chotai chachia, ea bimai kawe aronkiai, kashon oinaronki ikai jawena."| Cuento
2005|Nawa rameamis|"Nawaronki ikai kikin ramiamis, jainki westiora joniki kai moa piti bibiwanash, moa kai nawa kikin ramiamis, moaki jato moa aka, tsakakin, jainronki ikai westiora yosi baladoraya kake neno paobaini, ja ronki akai baladoraninki nato tsakakin, moa tsaka nawa nontin toshbatini, jatian jawen bakepari ranke, mia akanaitian mia akini kanon aronkiai, ja bake kake, nonti yatana moa jawen pitibo bichina, nonti neskara yatana kikin akin metan akin, oinaisi oinaronki akai chachikin, jainki ike nawa mawati."| Cuento
